GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
chapter_001,ru.job4j.generics,SimpleArray,0,109,4,10,0,24,4,10,0,7
chapter_001,ru.job4j.generics,AbstractStore,0,91,2,8,0,32,2,9,0,6
chapter_001,ru.job4j.generics,Base,0,9,0,0,0,4,0,2,0,2
chapter_001,ru.job4j.generics,UserStore,0,4,0,0,0,2,0,1,0,1
chapter_001,ru.job4j.generics,User,0,7,0,0,0,3,0,2,0,2
chapter_001,ru.job4j.generics,RoleStore,0,4,0,0,0,2,0,1,0,1
chapter_001,ru.job4j.generics,Role,0,7,0,0,0,3,0,2,0,2
chapter_001,ru.job4j.generics,SimpleArray.new Iterator() {...},4,34,1,3,1,5,1,4,0,3
chapter_001,ru.job4j.iterator,IteratorForEven,0,58,0,6,0,15,0,6,0,3
chapter_001,ru.job4j.iterator,Converter,0,9,0,0,0,2,0,2,0,2
chapter_001,ru.job4j.iterator,MatrixIterator,4,64,1,5,1,16,1,5,0,3
chapter_001,ru.job4j.iterator,Converter.new Iterator() {...},0,48,0,8,0,11,0,8,0,4
chapter_001,ru.job4j.map,CustomHashMap.Node,6,12,0,0,2,4,2,1,2,1
chapter_001,ru.job4j.map,User,5,62,5,5,2,13,5,3,0,3
chapter_001,ru.job4j.map,CustomHashMap.new Iterator() {...},8,64,2,6,2,15,2,6,0,4
chapter_001,ru.job4j.map,CustomHashMap,18,162,4,8,2,38,4,12,1,9
chapter_001,ru.job4j.tree,Tree.new Iterator() {...},15,0,0,0,4,0,3,0,3,0
chapter_001,ru.job4j.tree,Node,0,29,0,2,0,8,0,5,0,4
chapter_001,ru.job4j.tree,Tree,5,75,1,7,1,22,2,6,1,3
chapter_001,ru.job4j.list,NodeChecker,1,41,2,8,1,16,2,5,0,2
chapter_001,ru.job4j.list,SimpleStack,0,25,0,2,0,7,0,5,0,4
chapter_001,ru.job4j.list,SimpleArrayList,0,58,0,2,0,15,0,6,0,5
chapter_001,ru.job4j.list,DynamicLinkedContainer,4,89,1,5,1,22,1,8,0,6
chapter_001,ru.job4j.list,DynamicContainer.DynamicContainerIterator,0,46,0,4,0,9,0,6,0,4
chapter_001,ru.job4j.list,DynamicLinkedContainer.new Iterator() {...},8,45,2,4,2,9,2,5,0,4
chapter_001,ru.job4j.list,SimpleArrayList.Node,0,6,0,0,0,3,0,1,0,1
chapter_001,ru.job4j.list,DynamicContainer,0,85,0,2,0,20,0,8,0,7
chapter_001,ru.job4j.list,SimpleQueue,2,41,1,5,0,9,1,5,0,3
chapter_001,ru.job4j.list,DynamicLinkedContainer.Node,0,12,0,0,0,5,0,1,0,1
chapter_001,ru.job4j.set,SimpleSet,4,47,0,8,1,15,1,8,1,4
chapter_001,ru.job4j.list.utils,Node,0,9,0,0,0,4,0,2,0,2
