"Name","Total Time","Total Time (CPU)","Hits"
"main","11 879 ms (-0%)","11 879 ms (-0%)","1"
" ru.job4j.tracker.StartUI.main ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"  ru.job4j.tracker.StartUI.init ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"   ru.job4j.tracker.MenuTracker.selectAction ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"    ru.job4j.tracker.ValidateInput.askInt ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"     ru.job4j.tracker.ConsoleInput.askInt ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"      ru.job4j.tracker.ConsoleInput.askInt ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"       ru.job4j.tracker.ConsoleInput.askStr ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"        java.util.Scanner.nextLine ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"        Self time","0,0 ms (0%)","0,0 ms (0%)","1"
"       Self time","0,0 ms (0%)","0,0 ms (0%)","1"
"      Self time","0,0 ms (0%)","0,0 ms (0%)","1"
"     Self time","0,0 ms (0%)","0,0 ms (0%)","1"
"    Self time","0,0 ms (0%)","0,0 ms (0%)","1"
"   Self time","0,0 ms (0%)","0,0 ms (0%)","1"
"  Self time","0,0 ms (0%)","0,0 ms (0%)","1"
"Monitor Ctrl-Break","11 879 ms (-0%)","11 879 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","11 879 ms (-0%)","11 879 ms (-0%)","1"
"  Self time","0,0 ms (0%)","0,0 ms (0%)","1"
