"Name","Live Bytes","Live Objects"
"byte[]","1 415 128 B (35,1%)","19 570 (24,3%)"
"java.lang.String","406 512 B (10,1%)","16 938 (21,1%)"
"java.lang.Class","282 568 B (7%)","2 508 (3,1%)"
"java.lang.Object[]","234 000 B (5,8%)","3 633 (4,5%)"
"java.util.HashMap$Node","204 288 B (5,1%)","6 384 (7,9%)"
"int[]","154 760 B (3,8%)","1 058 (1,3%)"
"java.util.concurrent.ConcurrentHashMap$Node","108 640 B (2,7%)","3 395 (4,2%)"
"java.lang.reflect.Method","103 312 B (2,6%)","1 174 (1,5%)"
"java.util.HashMap$Node[]","77 488 B (1,9%)","577 (0,7%)"
"char[]","73 696 B (1,8%)","153 (0,2%)"
"java.lang.ref.SoftReference","53 080 B (1,3%)","1 327 (1,6%)"
"long[]","51 736 B (1,3%)","219 (0,3%)"
"java.lang.Class[]","41 320 B (1%)","1 701 (2,1%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","36 672 B (0,9%)","764 (0,9%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","35 824 B (0,9%)","93 (0,1%)"
"java.util.HashMap","30 768 B (0,8%)","641 (0,8%)"
"java.lang.invoke.MemberName","29 760 B (0,7%)","620 (0,8%)"
"sun.util.locale.BaseLocale$Key","23 584 B (0,6%)","737 (0,9%)"
"java.lang.String[]","22 504 B (0,6%)","497 (0,6%)"
"java.util.TreeMap$Entry","19 080 B (0,5%)","477 (0,6%)"
"java.lang.invoke.MethodType","18 240 B (0,5%)","456 (0,6%)"
"java.lang.reflect.Field","17 712 B (0,4%)","246 (0,3%)"
"java.lang.reflect.Constructor","17 040 B (0,4%)","213 (0,3%)"
"java.lang.ref.SoftReference[]","15 912 B (0,4%)","234 (0,3%)"
"short[]","15 144 B (0,4%)","202 (0,3%)"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","14 688 B (0,4%)","459 (0,6%)"
"java.lang.invoke.LambdaForm$Name","13 120 B (0,3%)","410 (0,5%)"
"java.lang.Object","12 704 B (0,3%)","794 (1%)"
"java.lang.invoke.ResolvedMethodName","11 280 B (0,3%)","470 (0,6%)"
"java.util.concurrent.ConcurrentHashMap","11 072 B (0,3%)","173 (0,2%)"
